questionId,jobRole,category,difficulty,question,expectedAnswer,keywords,followUpQuestions,scoringRubric,estimatedTime,isActive,createdBy,created_at,updated_at,job_id
am_b_001,ASSISTANT_MANAGER_MARKETING,BEHAVIORAL,HARD,How do you coordinate NPD with R&D and Customers?,"Looking for: Managing timelines, technical translation, and expectations.","[""NPD"",""timeline"",""expectations""]",[],"{""excellent"":""Uses stage-gate tracking process"",""good"":""Keeps communication open"",""poor"":""Conflict-prone""}",7,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
am_b_002,ASSISTANT_MANAGER_MARKETING,BEHAVIORAL,MEDIUM,Describe managing a team under target pressure.,"Looking for: Leadership, motivation, and resilience.","[""leadership"",""resilience"",""KPI""]",[],"{""excellent"":""Uses data to identify bottlenecks"",""good"":""Motivates team"",""poor"":""Blames others""}",7,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
am_b_003,ASSISTANT_MANAGER_MARKETING,BEHAVIORAL,HARD,How do you handle a raw material supply crisis?,"Looking for: Transparency, alternative sourcing, and substitution studies.","[""substitution"",""transparency"",""sourcing""]",[],"{""excellent"":""Proposes immediate study plus transparency"",""good"":""Looks for sources"",""poor"":""Hides from client""}",8,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
am_t_001,ASSISTANT_MANAGER_MARKETING,TECHNICAL_DEEP_DIVE,HARD,How do you optimize a compound for FDA compliance?,RESIN and additives must be on the FDA positive list; migration testing is essential.,"[""SML"",""Positive List"",""FDA""]",[],"{""excellent"":""Mentions migration and SML limits"",""good"":""Mentions approved resins"",""poor"":""N/A""}",7,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
am_t_002,ASSISTANT_MANAGER_MARKETING,TECHNICAL_DEEP_DIVE,HARD,"Explain ""Compatibilization"" in polymer blends.",Using a graft copolymer to lower interfacial tension between incompatible polymers.,"[""tension"",""graft"",""blend""]",[],"{""excellent"":""Mentions interfacial tension specifically"",""good"":""Helps mix plastics"",""poor"":""N/A""}",7,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
am_t_003,ASSISTANT_MANAGER_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,"What is ""Value-Added Selling""?",Focusing on solving customer problems rather than just selling on price.,"[""margin"",""solution"",""value""]",[],"{""excellent"":""Discusses Total Cost of Ownership (TCO)"",""good"":""Mentions solving problems"",""poor"":""Price only""}",6,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
am_t_004,ASSISTANT_MANAGER_MARKETING,TECHNICAL_DEEP_DIVE,HARD,"Impact of ""Molecular Weight Distribution"" (MWD) on performance?",Wide MWD helps processability; narrow MWD gives consistency and mechanical strength.,"[""MWD"",""consistency"",""strength""]",[],"{""excellent"":""Explains trade-off between mechanics and flow"",""good"":""Mentions MW"",""poor"":""N/A""}",6,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
am_t_005,ASSISTANT_MANAGER_MARKETING,TECHNICAL_DEEP_DIVE,MEDIUM,Importance of ISO 9001 and 14001 for exports?,Ensures quality consistency and environmental responsibility for global OEMs.,"[""OEM"",""ISO"",""quality""]",[],"{""excellent"":""Mentions access to premium global markets"",""good"":""Necessary for quality"",""poor"":""Ignore ISO""}",5,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
am_t_006,ASSISTANT_MANAGER_MARKETING,TECHNICAL_DEEP_DIVE,HARD,Justify a 20% price premium on a specialty grade.,"Highlight ROI via reduced scrap, faster cycles, and better durability.","[""ROI"",""scrap"",""cycle""]",[],"{""excellent"":""Uses quantitative benefits to support price"",""good"":""Better quality"",""poor"":""N/A""}",7,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
am_t_007,ASSISTANT_MANAGER_MARKETING,TECHNICAL_DEEP_DIVE,HARD,"Explain ""Rheology"" and its Compounding role.",Rheology is the study of flow; critical for ensuring materials fit customer molds perfectly.,"[""viscosity"",""shear"",""flow""]",[],"{""excellent"":""Discusses shear thinning control"",""good"":""Study of flow"",""poor"":""N/A""}",6,true,admin@maskpolymers.com,2026-04-18 19:49:50.993655+00,2026-04-18 19:49:50.993655+00,
